Year,State,Country,Percentage,Latitude ,Longitude
2019,JOHOR,CENTRAL ASIA,0,39.400922,72.867662
2019,PAHANG,CENTRAL ASIA,39,39.400922,72.867662
2019,TERENGGANU,CENTRAL ASIA,3.9,39.400922,72.867662
2019,KELANTAN,CENTRAL ASIA,0,39.400922,72.867662
2019,SARAWAK,CENTRAL ASIA,0,39.400922,72.867662
2019,SABAH,CENTRAL ASIA,0,39.400922,72.867662
2019,LABUAN,CENTRAL ASIA,0,39.400922,72.867662
2016,KUALA LUMPUR,CENTRAL ASIA,47.05,39.400922,72.867662
2017,KUALA LUMPUR,CENTRAL ASIA,32,39.400922,72.867662
2018,KUALA LUMPUR,CENTRAL ASIA,43.1,39.400922,72.867662
2016,SELANGOR,CENTRAL ASIA,47.05,39.400922,72.867662
2017,SELANGOR,CENTRAL ASIA,32,39.400922,72.867662
2018,SELANGOR,CENTRAL ASIA,43.1,39.400922,72.867662
2016,KEDAH,CENTRAL ASIA,0,39.400922,72.867662
2017,KEDAH,CENTRAL ASIA,10,39.400922,72.867662
2018,KEDAH,CENTRAL ASIA,0.55,39.400922,72.867662
2016,PERLIS,CENTRAL ASIA,0,39.400922,72.867662
2017,PERLIS,CENTRAL ASIA,10,39.400922,72.867662
2018,PERLIS,CENTRAL ASIA,0.55,39.400922,72.867662
2016,PUTRAJAYA,CHINA,2.2,35.000074,104.999927
2016,PENANG,CHINA,9.2,35.000074,104.999927
2016,PERAK,CHINA,1.1,35.000074,104.999927
2016,NEGERI SEMBILAN,CHINA,3.3,35.000074,104.999927
2016,MELAKA,CHINA,28.4,35.000074,104.999927
2016,JOHOR,CHINA,17.7,35.000074,104.999927
2016,PAHANG,CHINA,21.8,35.000074,104.999927
2016,TERENGGANU,CHINA,0,35.000074,104.999927
2016,KELANTAN,CHINA,0.4,35.000074,104.999927
2016,SARAWAK,CHINA,1.1,35.000074,104.999927
2016,SABAH,CHINA,29.2,35.000074,104.999927
2016,LABUAN,CHINA,2.2,35.000074,104.999927
2017,PUTRAJAYA,CHINA,0.6,35.000074,104.999927
2017,PENANG,CHINA,5.1,35.000074,104.999927
2017,PERAK,CHINA,0.6,35.000074,104.999927
2017,NEGERI SEMBILAN,CHINA,3.5,35.000074,104.999927
2017,MELAKA,CHINA,81.9,35.000074,104.999927
2017,JOHOR,CHINA,17.3,35.000074,104.999927
2017,PAHANG,CHINA,43.2,35.000074,104.999927
2017,TERENGGANU,CHINA,0,35.000074,104.999927
2017,KELANTAN,CHINA,0,35.000074,104.999927
2017,SARAWAK,CHINA,0.9,35.000074,104.999927
2017,SABAH,CHINA,0.9,35.000074,104.999927
2017,LABUAN,CHINA,0,35.000074,104.999927
2018,PUTRAJAYA,CHINA,0,35.000074,104.999927
2018,PENANG,CHINA,12.7,35.000074,104.999927
2018,PERAK,CHINA,2.9,35.000074,104.999927
2018,NEGERI SEMBILAN,CHINA,12.1,35.000074,104.999927
2018,MELAKA,CHINA,87.2,35.000074,104.999927
2018,JOHOR,CHINA,41.7,35.000074,104.999927
2018,PAHANG,CHINA,20.4,35.000074,104.999927
2018,TERENGGANU,CHINA,0,35.000074,104.999927
2018,KELANTAN,CHINA,0.1,35.000074,104.999927
2018,SARAWAK,CHINA,0.6,35.000074,104.999927
2018,SABAH,CHINA,26,35.000074,104.999927
2018,LABUAN,CHINA,0,35.000074,104.999927
2019,KUALA LUMPUR,CHINA,74.2,35.000074,104.999927
2019,PUTRAJAYA,CHINA,5.9,35.000074,104.999927
2019,PERLIS,CHINA,0,35.000074,104.999927
2019,KEDAH,CHINA,11,35.000074,104.999927
2019,PENANG,CHINA,14.1,35.000074,104.999927
2019,PERAK,CHINA,0.5,35.000074,104.999927
2019,SELANGOR,CHINA,28.2,35.000074,104.999927
2019,NEGERI SEMBILAN,CHINA,0.3,35.000074,104.999927
2019,MELAKA,CHINA,40.3,35.000074,104.999927
2019,JOHOR,CHINA,11.1,35.000074,104.999927
2019,PAHANG,CHINA,41.8,35.000074,104.999927
2019,TERENGGANU,CHINA,0.2,35.000074,104.999927
2019,KELANTAN,CHINA,0,35.000074,104.999927
2019,SARAWAK,CHINA,1.7,35.000074,104.999927
2019,SABAH,CHINA,50.5,35.000074,104.999927
2019,LABUAN,CHINA,0.1,35.000074,104.999927
2016,KUALA LUMPUR,CHINA,24.9,35.000074,104.999927
2017,KUALA LUMPUR,CHINA,21.4,35.000074,104.999927
2018,KUALA LUMPUR,CHINA,29.05,35.000074,104.999927
2016,SELANGOR,CHINA,24.9,35.000074,104.999927
2017,SELANGOR,CHINA,21.4,35.000074,104.999927
2018,SELANGOR,CHINA,29.05,35.000074,104.999927
2016,KEDAH,CHINA,0.75,35.000074,104.999927
2017,KEDAH,CHINA,2.25,35.000074,104.999927
2018,KEDAH,CHINA,15.3,35.000074,104.999927
2016,PERLIS,CHINA,0.75,35.000074,104.999927
2017,PERLIS,CHINA,2.25,35.000074,104.999927
2018,PERLIS,CHINA,15.3,35.000074,104.999927
2016,PUTRAJAYA,DENMARK,0,55.670249,10.333328
2016,PENANG,DENMARK,16.7,55.670249,10.333328
2016,PERAK,DENMARK,0,55.670249,10.333328
2016,NEGERI SEMBILAN,DENMARK,0,55.670249,10.333328
2016,MELAKA,DENMARK,16.7,55.670249,10.333328
2016,JOHOR,DENMARK,0,55.670249,10.333328
2016,PAHANG,DENMARK,0,55.670249,10.333328
2016,TERENGGANU,DENMARK,16.7,55.670249,10.333328
2016,KELANTAN,DENMARK,8.3,55.670249,10.333328
2016,SARAWAK,DENMARK,0,55.670249,10.333328
2016,SABAH,DENMARK,0,55.670249,10.333328
2016,LABUAN,DENMARK,0,55.670249,10.333328
2017,PUTRAJAYA,DENMARK,0,55.670249,10.333328
2017,PENANG,DENMARK,41.7,55.670249,10.333328
2017,PERAK,DENMARK,0,55.670249,10.333328
2017,NEGERI SEMBILAN,DENMARK,0,55.670249,10.333328
2017,MELAKA,DENMARK,0,55.670249,10.333328
2017,JOHOR,DENMARK,0,55.670249,10.333328
2017,PAHANG,DENMARK,0,55.670249,10.333328
2017,TERENGGANU,DENMARK,16.7,55.670249,10.333328
2017,KELANTAN,DENMARK,25,55.670249,10.333328
2017,SARAWAK,DENMARK,0,55.670249,10.333328
2017,SABAH,DENMARK,83.3,55.670249,10.333328
2017,LABUAN,DENMARK,0,55.670249,10.333328
2018,PUTRAJAYA,DENMARK,0,55.670249,10.333328
2018,PENANG,DENMARK,0,55.670249,10.333328
2018,PERAK,DENMARK,0,55.670249,10.333328
2018,NEGERI SEMBILAN,DENMARK,0,55.670249,10.333328
2018,MELAKA,DENMARK,17.1,55.670249,10.333328
2018,JOHOR,DENMARK,0,55.670249,10.333328
2018,PAHANG,DENMARK,0,55.670249,10.333328
2018,TERENGGANU,DENMARK,0,55.670249,10.333328
2018,KELANTAN,DENMARK,0,55.670249,10.333328
2018,SARAWAK,DENMARK,2.9,55.670249,10.333328
2018,SABAH,DENMARK,28.6,55.670249,10.333328
2018,LABUAN,DENMARK,0,55.670249,10.333328
2019,KUALA LUMPUR,DENMARK,73.6,55.670249,10.333328
2019,PUTRAJAYA,DENMARK,0,55.670249,10.333328
2019,PERLIS,DENMARK,0,55.670249,10.333328
2019,KEDAH,DENMARK,33.3,55.670249,10.333328
2019,PENANG,DENMARK,45.3,55.670249,10.333328
2019,PERAK,DENMARK,3.4,55.670249,10.333328
2019,SELANGOR,DENMARK,43.1,55.670249,10.333328
2019,NEGERI SEMBILAN,DENMARK,3.4,55.670249,10.333328
2019,MELAKA,DENMARK,16.9,55.670249,10.333328
2019,JOHOR,DENMARK,9.7,55.670249,10.333328
2019,PAHANG,DENMARK,16.7,55.670249,10.333328
2019,TERENGGANU,DENMARK,6.7,55.670249,10.333328
2019,KELANTAN,DENMARK,0,55.670249,10.333328
2019,SARAWAK,DENMARK,3.4,55.670249,10.333328
2019,SABAH,DENMARK,21,55.670249,10.333328
2019,LABUAN,DENMARK,0,55.670249,10.333328
2016,KUALA LUMPUR,DENMARK,20.85,55.670249,10.333328
2017,KUALA LUMPUR,DENMARK,25,55.670249,10.333328
2018,KUALA LUMPUR,DENMARK,40,55.670249,10.333328
2016,SELANGOR,DENMARK,20.85,55.670249,10.333328
2017,SELANGOR,DENMARK,25,55.670249,10.333328
2018,SELANGOR,DENMARK,40,55.670249,10.333328
2016,KEDAH,DENMARK,0,55.670249,10.333328
2017,KEDAH,DENMARK,45.85,55.670249,10.333328
2018,KEDAH,DENMARK,7.15,55.670249,10.333328
2016,PERLIS,DENMARK,0,55.670249,10.333328
2017,PERLIS,DENMARK,45.85,55.670249,10.333328
2018,PERLIS,DENMARK,7.15,55.670249,10.333328
2016,PUTRAJAYA,FINLAND,0,63.246778,25.920916
2016,PENANG,FINLAND,29.4,63.246778,25.920916
2016,PERAK,FINLAND,5.9,63.246778,25.920916
2016,NEGERI SEMBILAN,FINLAND,0,63.246778,25.920916
2016,MELAKA,FINLAND,23.5,63.246778,25.920916
2016,JOHOR,FINLAND,11.8,63.246778,25.920916
